precision,L1 Error (%),L2 Error (%),Linf Error (%)
FP16,1.0316664491899804e-05,-8.464416719049459e-06,0.0
FP32,1.045856554495175e-05,3.33732070766849e-05,0.0
FP64,0.0,-3.113623277772456e-14,-3.11239158827525e-14
FP128,0.0,0.0,0.0
