precision,L1 Error (%),L2 Error (%),Linf Error (%)
FP16,0.00041755313260641064,0.00034976028521914524,-0.0002928278159509205
FP32,0.0005754798969398553,0.0005366755086437958,0.0
FP64,-2.8812584308999316e-07,7.560393959555355e-10,3.0582552048062747e-08
FP128,-2.881459288292113e-07,7.352045654441589e-10,3.056298696340191e-08
