precision,L1 Error,L2 Error,Linf Error
FP16,0.050842024,0.054654867,0.08147502
FP32,0.054830059,0.060389757,0.085183442
FP64,0.054829724,0.060389408,0.085183054
FP128,0.054829724,0.060389408,0.085183054
