precision,L1 Error,L2 Error,Linf Error
FP16,0.0129324859,0.0143812783,0.0203532577
FP32,0.0129457172,0.0144034894,0.0204452276
FP64,0.012946252337301567,0.014404108599891188,0.020445975093747126
FP128,0.01294625233730413,0.014404108599894137,0.02044597509375119
