precision,L1 Error,L2 Error,Linf Error
FP16,,,0.0
FP32,,,0.0
FP64,0.6024924241049319,0.8376727989009086,4.048003711000732
FP128,0.6024924241049385,0.8376727989009225,4.0480037110007565
