precision,L1 Error,L2 Error,Linf Error
FP16,0.0508420244,0.0546548665,0.0814750195
FP32,0.0548300594,0.0603897572,0.0851834416
FP64,0.05482972360527301,0.06038940783730936,0.08518305379730462
FP128,0.054829723605282196,0.06038940783731964,0.08518305379731947
