step,time,E,relative_change
0   0.00000000E+00   2.50015229E-01   1.00000000E+00
10   4.99999970E-02   2.44684845E-01   9.78679776E-01
20   9.99999940E-02   2.39539668E-01   9.58100319E-01
30   1.49999991E-01   2.34414235E-01   9.37599838E-01
40   1.99999988E-01   2.29427069E-01   9.17652369E-01
50   2.50000000E-01   2.24599794E-01   8.98344457E-01
60   2.99999982E-01   2.19817132E-01   8.79214942E-01
70   3.49999994E-01   2.15083271E-01   8.60280693E-01
80   3.99999976E-01   2.10374013E-01   8.41444790E-01
90   4.49999988E-01   2.05996469E-01   8.23935688E-01
100   5.00000000E-01   2.01554313E-01   8.06168139E-01
