step,time,E,relative_change
0   0.00000000E+00   2.50000000E-01   1.00000000E+00
10   5.00000000E-02   2.45144727E-01   9.80578907E-01
20   1.00000000E-01   2.40385311E-01   9.61541244E-01
30   1.50000000E-01   2.35718535E-01   9.42874139E-01
40   2.00000000E-01   2.31142482E-01   9.24569930E-01
50   2.50000000E-01   2.26655345E-01   9.06621381E-01
60   3.00000000E-01   2.22255372E-01   8.89021488E-01
70   3.50000000E-01   2.17940856E-01   8.71763422E-01
80   4.00000000E-01   2.13710127E-01   8.54840507E-01
90   4.50000000E-01   2.09561552E-01   8.38246207E-01
100   5.00000000E-01   2.05493531E-01   8.21974125E-01
